Visuels;bloc;rank;size;jap_release;code;en_name;symbol_url
Ok;Base;1;102;October 20, 1996;base1;Base Set;
Ok;Base;2;48;March 5, 1997;base2;Jungle;https://cdn.bulbagarden.net/upload/thumb/2/2f/SetSymbolJungle.png/60px-SetSymbolJungle.png
Ok;Base;3;48;June 21, 1997;base3;The Mystery of the Fossils;https://cdn.bulbagarden.net/upload/thumb/e/e6/SetSymbolFossil.png/60px-SetSymbolFossil.png
Ok;Base;4;65;November 21, 1997;base4;Rocket Gang;https://cdn.bulbagarden.net/upload/thumb/7/7e/SetSymbolTeam_Rocket.png/60px-SetSymbolTeam_Rocket.png
Ok;Gym;5;96;October 24, 1998;gym1;Leaders' Stadium;https://cdn.bulbagarden.net/upload/thumb/3/38/SetSymbolGym_Booster.png/60px-SetSymbolGym_Booster.png
Ok;Gym;6;98;June 25, 1999;gym2;Challenge from the Darkness;https://cdn.bulbagarden.net/upload/thumb/3/38/SetSymbolGym_Booster.png/60px-SetSymbolGym_Booster.png
Ok;Neo;7;96;December 10, 1999;neo1;Gold, Silver, to a New World...;https://cdn.bulbagarden.net/upload/thumb/7/75/SetSymbolNeo_Genesis.png/60px-SetSymbolNeo_Genesis.png
Ok;Neo;8;57;July 7, 2000;neo2;Crossing the Ruins...;https://cdn.bulbagarden.net/upload/thumb/f/f8/SetSymbolNeo_Discovery.png/60px-SetSymbolNeo_Discovery.png
Ok;Neo;9;57;January 1, 2001;neo3;Awakening Legends;https://cdn.bulbagarden.net/upload/thumb/c/c6/SetSymbolNeo_Revelation.png/60px-SetSymbolNeo_Revelation.png
Ok;Neo;10;113;March 9, 2001;neo4;Darkness, and to Light...;https://cdn.bulbagarden.net/upload/thumb/8/88/SetSymbolNeo_Destiny.png/60px-SetSymbolNeo_Destiny.png
Ok;E-Card;11;151;August 19, 2001;ecardvs;Pokemon Card VS;
Ok;E-Card;12;48;October 20, 2001;ecardweb;Pokemon Card Web;
Ok;E-Card;13;128;December 1, 2001;ecard1;Base Expansion Pack;https://cdn.bulbagarden.net/upload/7/7f/SetSymbolBase_Expansion_Pack.png
Ok;E-Card;14;92;March 8, 2002;ecard2;The Town on No Map;https://cdn.bulbagarden.net/upload/d/de/SetSymbolThe_Town_on_No_Map.png
Ok;E-Card;15;87;May 24, 2002;ecard3;Wind from the Sea;https://cdn.bulbagarden.net/upload/1/15/SetSymbolWind_from_the_Sea.png
Ok;E-Card;16;88;August 24, 2002;ecard4;Split Earth;https://cdn.bulbagarden.net/upload/c/c6/SetSymbolSplit_Earth.png
Ok;E-Card;17;88;October 4, 2002;ecard5;Mysterious Mountains;https://cdn.bulbagarden.net/upload/5/50/SetSymbolMysterious_Mountains.png
Ok;ADV;18;55;January 31, 2003;ex1;Expansion Pack;https://cdn.bulbagarden.net/upload/thumb/f/f2/SetSymbolRuby_and_Sapphire.png/60px-SetSymbolRuby_and_Sapphire.png
Ok;ADV;19;53;April 18, 2003;ex2;Miracle of the Desert;https://cdn.bulbagarden.net/upload/thumb/6/6a/SetSymbolSandstorm.png/60px-SetSymbolSandstorm.png
Ok;ADV;20;54;June 25, 2003;ex3;Rulers of the Heavens;https://cdn.bulbagarden.net/upload/thumb/0/08/SetSymbolDragon.png/60px-SetSymbolDragon.png
Ok;ADV;21;80;October 24, 2003;ex4;Magma VS Aqua: Two Ambitions;https://cdn.bulbagarden.net/upload/thumb/b/b9/SetSymbolTeam_Magma_vs_Team_Aqua.png/60px-SetSymbolTeam_Magma_vs_Team_Aqua.png
Ok;ADV;22;83;January 16, 2004;ex5;Undone Seal;https://cdn.bulbagarden.net/upload/thumb/6/66/SetSymbolHidden_Legends.png/60px-SetSymbolHidden_Legends.png
Ok;PCG;23;82;April 9, 2004;ex6;Flight of Legends;https://cdn.bulbagarden.net/upload/1/1b/SetSymbolFlight_of_Legends.png
Ok;PCG;24;84;October 15, 2004;ex7;Rocket Gang Strikes Back;https://cdn.bulbagarden.net/upload/thumb/a/a0/SetSymbolTeam_Rocket_Returns.png/60px-SetSymbolTeam_Rocket_Returns.png
Ok;PCG;25;82;July 1, 2004;ex8;Clash of the Blue Sky;https://cdn.bulbagarden.net/upload/thumb/7/73/SetSymbolDeoxys.png/60px-SetSymbolDeoxys.png
Ok;PCG;26;106;April 8, 2005;ex9;Golden Sky, Silvery Ocean;https://cdn.bulbagarden.net/upload/thumb/6/63/SetSymbolUnseen_Forces.png/60px-SetSymbolUnseen_Forces.png
Ok;PCG;27;86;October 28, 2005;ex10;Holon Research Tower;https://cdn.bulbagarden.net/upload/thumb/1/14/SetSymbolDelta_Species.png/60px-SetSymbolDelta_Species.png
Ok;PCG;28;86;June 30, 2005;ex11;Mirage Forest;https://cdn.bulbagarden.net/upload/thumb/2/2c/SetSymbolLegend_Maker.png/60px-SetSymbolLegend_Maker.png
Ok;PCG;29;52;January 27, 2006;ex12;Holon Phantom;https://cdn.bulbagarden.net/upload/thumb/b/ba/SetSymbolHolon_Phantoms.png/60px-SetSymbolHolon_Phantoms.png
Ok;PCG;30;75;March 10, 2006;ex13;Miracle Crystal;https://cdn.bulbagarden.net/upload/thumb/e/e9/SetSymbolCrystal_Guardians.png/60px-SetSymbolCrystal_Guardians.png
Ok;PCG;31;68;June 29, 2006;ex14;Offense and Defense of the Furthest Ends;https://cdn.bulbagarden.net/upload/thumb/e/e3/SetSymbolDragon_Frontiers.png/60px-SetSymbolDragon_Frontiers.png
Ok;PCG;32;108;July 5, 2007;ex15;World Champions Pack;https://cdn.bulbagarden.net/upload/thumb/5/5b/SetSymbolPower_Keepers.png/60px-SetSymbolPower_Keepers.png
Ok;Diamond & Pearl;33;117;November 30, 2006;dp1d;Diamond Collection;https://cdn.bulbagarden.net/upload/0/0d/SetSymbolSpace-Time_Creation.png
Ok;Diamond & Pearl;34;119;November 30, 2006;dp1p;Pearl Collection;https://cdn.bulbagarden.net/upload/0/0d/SetSymbolSpace-Time_Creation.png
V-U;Diamond & Pearl;35;131;March 2, 2007;dp2;Secret of the Lakes;https://cdn.bulbagarden.net/upload/8/8f/SetSymbolSecret_of_the_Lakes.png
V-U;Diamond & Pearl;36;119;July 5, 2007;dp3;Shining Darkness;https://cdn.bulbagarden.net/upload/e/ef/SetSymbolShining_Darkness.png
V-U;Diamond & Pearl;37;70;October 26, 2007;dp4a;Moonlit Pursuit;https://cdn.bulbagarden.net/upload/2/2f/SetSymbolMoonlit_Pursuit_Dawn_Dash.png
V-U;Diamond & Pearl;38;70;October 26, 2007;dp4b;Dawn Dash;https://cdn.bulbagarden.net/upload/2/2f/SetSymbolMoonlit_Pursuit_Dawn_Dash.png
V-U;Diamond & Pearl;39;65;March 14, 2008;dp5a;Cry from the Mysterious;https://cdn.bulbagarden.net/upload/1/18/SetSymbolCry_from_the_Mysterious_Temple_of_Anger.png
V-U;Diamond & Pearl;40;65;March 14, 2008;dp5b;Temple of Anger;https://cdn.bulbagarden.net/upload/1/18/SetSymbolCry_from_the_Mysterious_Temple_of_Anger.png
V-U;Diamond & Pearl;41;92;July 10, 2008;dp6;Intense Fight in the Destroyed Sky;https://cdn.bulbagarden.net/upload/8/84/SetSymbolIntense_Fight_in_the_Destroyed_Sky.png
Ok;DPt;42;96;October 10, 2008;pt1;Galactic's Conquest;https://cdn.bulbagarden.net/upload/8/86/SetSymbolGalactic_Conquest.png
Ok;DPt;43;90;December 26, 2008;pt2;Bonds to the End of Time;https://cdn.bulbagarden.net/upload/1/15/SetSymbolBonds_to_the_End_of_Time.png
Ok;DPt;44;100;March 6, 2009;pt3;Beat of the Frontier;https://cdn.bulbagarden.net/upload/f/f3/SetSymbolBeat_of_the_Frontier.png
Ok;DPt;45;90;July 8, 2009;pt4;Advent of Arceus;https://cdn.bulbagarden.net/upload/4/4c/SetSymbolAdvent_of_Arceus.png
Ok;Legend;46;70;October 9, 2009;l1a;HeartGold Collection;https://cdn.bulbagarden.net/upload/1/1c/SetSymbolHeartGold_Collection.png
Ok;Legend;47;70;October 9, 2009;l1b;SoulSilver Collection;https://cdn.bulbagarden.net/upload/e/ec/SetSymbolSoulSilver_Collection.png
Ok;Legend;48;40;January 1, 2010;ll;Lost Link;https://cdn.bulbagarden.net/upload/9/92/SetSymbolLost_Link.png
Ok;Legend;49;80;February 11, 2010;l2;Reviving Legends;https://cdn.bulbagarden.net/upload/8/85/SetSymbolReviving_Legends.png
Ok;Legend;50;80;July 8, 2010;l3;Clash at the Summit;https://cdn.bulbagarden.net/upload/3/3d/SetSymbolClash_at_the_Summit.png
V-U;Black & White;51;53;December 17, 2010;bw1a;Black Collection;https://pod.pokellector.com/logos/Black-Collection.symbol.14.png
V-U;Black & White;52;53;December 17, 2010;bw1b;White Collection;https://pod.pokellector.com/logos/Black-Collection.symbol.14.png
V-U;Black & White;53;66;July 15, 2011;bw2;Red Collection;https://pod.pokellector.com/logos/Red-Collection.symbol.17.png
V-U;Black & White;54;52;September 16, 2011;bw3a;Psycho Drive;https://pod.pokellector.com/logos/Psycho-Drive.symbol.19.png
V-U;Black & White;55;52;September 16, 2011;bw3b;Hail Blizzard;https://pod.pokellector.com/logos/Hail-Blizzard.symbol.18.png
V-U;Black & White;56;69;December 16, 2011;bw4;Dark Rush;https://pod.pokellector.com/logos/Dark-Rush.symbol.20.png
V-U;Black & White;57;50;March 16, 2012;bw5a;Dragon Blast;https://pod.pokellector.com/logos/Dragon-Blast.symbol.22.png
V-U;Black & White;58;50;March 16, 2012;bw5b;Dragon Blade;https://pod.pokellector.com/logos/Dragon-Blade.symbol.21.png
V-U;Black & White;59;59;July 13, 2012;bw6a;Freeze Bolt;https://pod.pokellector.com/logos/Freeze-Bolt.symbol.24.png
V-U;Black & White;60;59;July 13, 2012;bw6b;Cold Flare;https://pod.pokellector.com/logos/Cold-Flare.symbol.23.png
V-U;Black & White;61;70;September 14, 2012;bw7;Plasma Gale;https://pod.pokellector.com/logos/Plasma-Gale.symbol.12.png
V-U;Black & White;62;51;December 14, 2012;bw8a;Spiral Force;https://cdn.bulbagarden.net/upload/b/b5/SetSymbolSpiral_Force.png
V-U;Black & White;63;51;December 14, 2012;bw8b;Thunder Knuckle;https://cdn.bulbagarden.net/upload/3/36/SetSymbolThunder_Knuckle.png
V-U;Black & White;64;76;March 15, 2013;bw9;Megalo Cannon;https://cdn.bulbagarden.net/upload/0/03/SetSymbolMegalo_Cannon.png
V-U;Black & White;65;93;July 13, 2013;ebb;EX Battle Boost;https://cdn.bulbagarden.net/upload/f/f2/SetSymbolEX_Battle_Boost.png
V-U;XY;66;39;November 8, 2013;hxy;XY Beginning Set;https://pod.pokellector.com/logos/XY-Beginning-Set.symbol.146.png
V-U;XY;67;60;December 13, 2013;xy1a;Collection X;https://cdn.bulbagarden.net/upload/a/a1/SetSymbolCollection_X.png
V-U;XY;68;60;December 13, 2013;xy1b;Collection Y;https://cdn.bulbagarden.net/upload/7/74/SetSymbolCollection_Y.png
V-U;XY;69;80;March 15, 2014;xy2;Wild Blaze;https://cdn.bulbagarden.net/upload/4/46/SetSymbolWild_Blaze.png
V-U;XY;70;96;June 14, 2014;xy3;Rising Fist;https://cdn.bulbagarden.net/upload/5/59/SetSymbolRising_Fist.png
V-U;XY;71;88;September 13, 2014;xy4;Phantom Gate;https://cdn.bulbagarden.net/upload/2/22/SetSymbolPhantom_Gate.png
V-U;XY;72;70;December 13, 2014;xy5a;Gaia Volcano;https://cdn.bulbagarden.net/upload/0/09/SetSymbolGaia_Volcano.png
V-U;XY;73;70;December 13, 2014;xy5b;Tidal Storm;https://cdn.bulbagarden.net/upload/f/fd/SetSymbolTidal_Storm.png
V-U;XY;74;34;January 30, 2015;cp1;Magma Gang vs Aqua Gang: Double Crisis;https://pod.pokellector.com/logos/Team-Magma-vs-Team-Aqua-Double-Crisis.symbol.168.png
V-U;XY;75;78;March 14, 2015;xy6;Emerald Break;https://cdn.bulbagarden.net/upload/0/03/SetSymbolEmerald_Break.png
V-U;XY;76;81;June 20, 2015;xy7;Bandit Ring;https://cdn.bulbagarden.net/upload/6/6d/SetSymbolBandit_Ring.png
V-U;XY;77;27;July 18, 2015;cp2;Legendary Holo Collection;https://pod.pokellector.com/logos/Legendary-Holo-Collection.symbol.173.png
V-U;XY;78;59;September 26, 2015;xy8a;Blue Impact;https://cdn.bulbagarden.net/upload/f/fc/SetSymbolBlue_Shock.png
V-U;XY;79;59;September 26, 2015;xy8b;Red Flash;https://cdn.bulbagarden.net/upload/4/41/SetSymbolRed_Flash.png
V-U;XY;80;80;December 11, 2015;xy9;Rage of the Broken Sky;https://limitlesstcg.com/wp-content/media/icons/sets/jp/XY9.png
V-U;XY;81;32;January 29, 2016;cp3;Pokekyun Collection;https://pod.pokellector.com/logos/Pokekyun-Collection.symbol.186.png
V-U;XY;82;72;February 27, 2016;20th;Starter Pack;https://limitlesstcg.com/wp-content/media/icons/sets/jp/20th.png
V-U;XY;83;78;March 18, 2016;xy10;Awakening of Psychic Kings;https://limitlesstcg.com/wp-content/media/icons/sets/jp/XY10.png
V-U;XY;84;131;April 16, 2016;cp4;Premium Champion Pack: EX x M x BREAK;https://pod.pokellector.com/logos/Premium-Champion-Pack-EX-x-M-x-BREAK.symbol.185.png
V-U;XY;85;54;June 17, 2016;xy11a;Ruthless Rebel;https://limitlesstcg.com/wp-content/media/icons/sets/jp/XY11b.png
V-U;XY;86;54;June 17, 2016;xy11b;Explosive Warrior;https://limitlesstcg.com/wp-content/media/icons/sets/jp/XY11r.png
V-U;XY;87;36;July 16, 2016;cp5;Mythical / Legendary Dream Holo Collection;https://pod.pokellector.com/logos/Mythical-Legendary-Dream-Holo-Collection.symbol.195.png
V-U;XY;88;87;September 16, 2016;cp6;Expansion Pack 20th Anniversary;https://pod.pokellector.com/logos/20th-Anniversary-Collection.symbol.198.png
V-U;XY;89;171;April 21, 2017;xy;The Best of XY;https://pod.pokellector.com/logos/The-Best-of-XY.symbol.223.png
V-U;Sun & Moon;90;60;December 9, 2016;sm1s;Collection Sun;https://cdn.bulbagarden.net/upload/6/61/SetSymbolCollection_Sun.png
V-U;Sun & Moon;91;60;December 9, 2016;sm1m;Collection Moon;https://cdn.bulbagarden.net/upload/4/4c/SetSymbolCollection_Moon.png
V-U;Sun & Moon;92;50;March 17, 2017;sm2k;Islands Await You;https://cdn.bulbagarden.net/upload/2/25/SetSymbolIslands_Await_You.png
V-U;Sun & Moon;93;50;March 17, 2017;sm2l;Alolan Moonlight;https://cdn.bulbagarden.net/upload/2/24/SetSymbolAlolan_Moonlight.png
V-U;Sun & Moon;94;51;June 16, 2017;sm3h;Rainbow Battle;https://cdn.bulbagarden.net/upload/c/c8/SetSymbolTo_Have_Seen_the_Battle_Rainbow.png
V-U;Sun & Moon;95;51;June 16, 2017;sm3n;Consuming Darkness;https://cdn.bulbagarden.net/upload/6/62/SetSymbolDarkness_that_Consumes_Light.png
V-U;Sun & Moon;96;72;July 15, 2017;sm3+;Strength Expansion Pack Shining Legends;https://cdn.bulbagarden.net/upload/9/97/SetSymbolShiningLegends.png
V-U;Sun & Moon;97;50;September 15, 2017;sm4s;The Awoken Hero;https://cdn.bulbagarden.net/upload/8/81/SetSymbolAwakened_Heroes.png
V-U;Sun & Moon;98;50;September 15, 2017;sm4a;The Transdimensional Beast;https://cdn.bulbagarden.net/upload/c/cb/SetSymbolUltradimensional_Beasts.png
V-U;Sun & Moon;99;114;October 20, 2017;sm4+;GX Battle Boost;https://pod.pokellector.com/logos/GX-Battle-Boost.symbol.228.png
V-U;Sun & Moon;100;66;December 8, 2017;sm5s;Ultra Sun;https://limitlesstcg.com/wp-content/media/icons/sets/jp/SM5S.png
V-U;Sun & Moon;101;66;December 8, 2017;sm5m;Ultra Moon;https://limitlesstcg.com/wp-content/media/icons/sets/jp/SM5M.png
V-U;Sun & Moon;102;50;January 19, 2018;sm5+;Ultra Force;https://pod.pokellector.com/logos/Ultra-Force.symbol.238.png
V-U;Sun & Moon;103;94;March 2, 2018;sm6;Forbidden Light;https://cdn.bulbagarden.net/upload/b/be/SetSymbolForbiddenLight.png
V-U;Sun & Moon;104;53;April 6, 2018;sm6a;Dragon Storm;https://limitlesstcg.com/wp-content/media/icons/sets/jp/SM6a.png
V-U;Sun & Moon;105;66;May 3, 2018;sm6b;Champion Road;https://pod.pokellector.com/logos/Champion-Road.symbol.237.png
V-U;Sun & Moon;106;96;June 1, 2018;sm7;Sky-Splitting Charisma;https://cdn.bulbagarden.net/upload/5/52/SetSymbolSky-Splitting_Charisma.png
V-U;Sun & Moon;107;60;July 6, 2018;sm7a;Thunderclap Spark;https://pod.pokellector.com/logos/Thunderclap-Spark.symbol.243.png
V-U;Sun & Moon;108;50;August 3, 2018;sm7b;Fairy Rise;https://pod.pokellector.com/logos/Fairy-Rise.symbol.240.png
V-U;Sun & Moon;109;111;September 7, 2018;sm8;Explosive Impact;https://cdn.bulbagarden.net/upload/f/f8/SetSymbolSuper-Burst_Impact.png
V-U;Sun & Moon;110;52;October 5, 2018;sm8a;Dark Order;https://pod.pokellector.com/logos/Dark-Order.symbol.245.png
V-U;Sun & Moon;111;150;November 2, 2018;sm8b;Ultra Shiny GX;https://cdn.bulbagarden.net/upload/f/fd/SetSymbolGX_Ultra_Shiny.png
V-U;Sun & Moon;112;95;December 7, 2018;sm9;Tag Bolt;https://cdn.bulbagarden.net/upload/8/82/SetSymbolTag_Bolt.png
V-U;Sun & Moon;113;55;January 11, 2019;sm9a;Night Unison;https://pod.pokellector.com/logos/Night-Unison.symbol.262.png
V-U;Sun & Moon;114;54;February 1, 2019;sm9b;Full Metal Wall;https://pod.pokellector.com/logos/Full-Metal-Wall.symbol.263.png
V-U;Sun & Moon;115;95;March 1, 2019;sm10;Double Blaze;https://cdn.bulbagarden.net/upload/7/7d/SetSymbolDouble_Blaze.png
V-U;Sun & Moon;116;54;April 5, 2019;sm10a;GG End;https://pod.pokellector.com/logos/GG-End.symbol.267.png
V-U;Sun & Moon;117;54;April 26, 2019;sm10b;Sky Legends;https://pod.pokellector.com/logos/Sky-Legends.symbol.268.png
V-U;Sun & Moon;118;24;April 26, 2019;smp2;Detective Pikachu;https://cdn.bulbagarden.net/upload/3/36/SetSymbolGreat_Detective_Pikachu.png
V-U;Sun & Moon;119;94;May 31, 2019;sm11;Miracle Twins;https://cdn.bulbagarden.net/upload/5/50/SetSymbolMiracle_Twin.png
V-U;Sun & Moon;120;64;July 5, 2019;sm11a;Remix Bout;https://pod.pokellector.com/logos/Remix-Bout.symbol.272.png
V-U;Sun & Moon;121;49;August 2, 2019;sm11b;Dream League;https://pod.pokellector.com/logos/Dream-League.symbol.278.png
V-U;Sun & Moon;122;95;September 6, 2019;sm12;Alter Genesis;https://cdn.bulbagarden.net/upload/7/7f/SetSymbolAlter_Genesis.png
V-U;Sun & Moon;123;173;October 4, 2019;sm12a;Tag Team GX All Stars;https://pod.pokellector.com/logos/Tag-Team-GX-All-Stars.symbol.288.png
V-U;Sword & Shield;124;60;December 6, 2019;s1w;Sword;https://pod.pokellector.com/logos/Sword.symbol.283.png
V-U;Sword & Shield;125;60;December 6, 2020;s1h;Shield;https://pod.pokellector.com/logos/Shield.symbol.284.png
V-U;Sword & Shield;126;70;February 7, 2020;s1a;VMAX Rising;https://pod.pokellector.com/logos/V-Rising.symbol.285.png
V-U;Sword & Shield;127;96;March 6, 2020;s2;Rebellion Crash;https://pod.pokellector.com/logos/Rebellion-Crash.symbol.291.png
V-U;Sword & Shield;128;70;April 24, 2020;s2a;Explosive Flame Walker;https://pod.pokellector.com/logos/Explosive-Flame-Walker.symbol.295.png
V-U;Sword & Shield;129;100;June 5, 2020;s3;Infinity Zone;https://pod.pokellector.com/logos/Infinity-Zone.symbol.293.png
V-U;Sword & Shield;130;76;July 10, 2020;s3a;Legendary Pulse;https://pod.pokellector.com/logos/Legendary-Pulse.symbol.294.png
V-U;Sword & Shield;131;100;September 18, 2020;s4;Electrifying Tackle;https://pod.pokellector.com/logos/Electrifying-Tackle.symbol.297.png
;Sword & Shield;132;190;November 20, 2020;s4a;Shiny Star V;https://pod.pokellector.com/logos/Shiny-Star-V.symbol.301.png